kappa,g_1,delta_r1,min_snr,snr_200ns,meets_spec,Omega_q1_mag,phi_q1,Omega_q2_mag,phi_q2
2.0,0.05,0.1,0.00025282920045415023,2.0068562663374297e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.2,6.32960743768157e-05,5.02418720897345e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.30000000000000004,2.8138911367855112e-05,2.2335533437220338e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.4,1.582957998766972e-05,1.2564882432361892e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.5,1.013135853133975e-05,8.041863961365306e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.6,7.035826865541624e-06,5.584755719914577e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.7,5.1692503445933416e-06,4.103142527714217e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.8,3.957742787665395e-06,3.1414966703651916e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,0.9,3.127124639412187e-06,2.4821854702501423e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.05,1.0,2.5329820979409396e-06,2.010579073399059e-23,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.1,0.0009839845719111647,7.810472843216473e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.2,0.00025142199653822693,1.9956864489602738e-21,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.30000000000000004,0.000112205489751409,8.906419425469453e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.4,6.320730011353756e-05,5.017140665843574e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.5,4.047991697915125e-05,3.2131326169803214e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.6,2.8121345287339574e-05,2.2321590190675137e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.7,2.0665143033221432e-05,1.6403157434538707e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.8,1.5824018594203925e-05,1.2560468022433624e-22,False,0.1,0.0,0.1,1.5707963267948966
2.0,0.1,0.9,1.2504157506224312e-05,9.925296129387237e-23,False,0.1,0.0,0.1,1.5707963267948966
